EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),CP4,CP5,CP6,CP7,TCE_seccional,Atipicidad
15,MEXICO,68,OTZOLOTEPEC,18,6517,R,197.0,868.4306379666477,0.9260314787078968,1.9402985074626864,0.3320233610243882,0.3330933664941117,0.9901519294815608,55.45211283478936,-3.6272324464144643,1.9416034937137747,4.900544521688054,3.6696173999507926,23.856539520496952,1.9282144195812558,G3,Atípica en ICE principal
25,SINALOA,17,SINALOA,3,3427,R,119.00000000000013,0.37775259427149305,0.9696861328949612,0.9193548387096774,0.321600082145778,0.25325181343935343,0.8790674012440635,37.92705644650829,2.269060425563129,0.1315987273428496,12.413191486531586,-1.7179003947686238,8.615326372637591,6.3955235395367405,G3,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2687,R,299.0000000000004,1.5952281869884863,0.9013366096046316,0.7085714285714285,0.24006934115202802,0.23188896743723056,0.8941850524172262,35.23830219809628,4.094115016937904,9.393203283448312,0.9319419314503462,1.7548129736330618,2.9789275728176268,1.9767147940382248,G3,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2696,R,26.000000000000004,0.0711661949625283,0.8931924556924558,1.0,0.1852646826010492,0.20051413975210755,0.9476169611745904,34.871335511673834,4.921777588010763,6.189795063608463,-5.601655089329887,4.553972622025582,8.347344487060065,0.03434737091212662,G3,Atípica en ICE principal
19,NUEVO LEON,18,GARCIA,7,2547,R,1077.9999999999995,1494.7344961558874,0.9573882159808969,1.0263157894736843,0.22059180236256226,0.23590955030135435,0.997564603149436,33.185845245188844,-2.441352584202209,1.9025854752196083,6.139253747822323,0.4732559241954686,11.218178068079071,0.4821862382095081,G3,Atípica en ICE principal
8,CHIHUAHUA,9,BOCOYNA,7,147,R,696.9999999999995,4.13037037037037,0.8888976030159236,0.7167487684729064,0.195246912640648,0.20889910667520767,0.9694463020199086,32.749090111183136,3.1131242855540098,10.58923292426796,-3.4796836778796565,2.480031057298456,3.117532413439948,0.2949105383863485,G3,Atípica en ICE principal
8,CHIHUAHUA,66,URUACHI,7,2695,R,327.0,2.3151917644310083,0.908692339531898,0.5352112676056338,0.19439920852649167,0.19291481435595245,0.9061632001992576,28.650940215030307,4.146042146288764,8.685242366138821,-0.3928851648809541,1.6653633536612986,1.0879366283936591,1.2801050361850184,G3,Atípica en ICE principal
19,NUEVO LEON,21,GRAL. ESCOBEDO,2,2737,U,26.000000000000004,3448.1185473766172,0.9813480392156864,0.7333333333333333,0.17724578947751554,0.19353577126746466,0.9742785792574934,24.21188722760456,0.4571610387990298,-1.8266701110320207,8.20942512368312,2.6680116520130324,8.059415229071734,0.15087373738676,G3,Atípica en ICE principal
5,COAHUILA,32,SAN JUAN DE SABINAS,3,1711,M,231.99999999999997,1879.7282914332043,0.9199219901619012,0.6111111111111112,0.1357391861822357,0.15379062798042295,0.9935366833439966,23.281878433180786,1.331197103297832,6.619113105030586,-2.4273029200983363,4.1437820638595015,4.0013337042551385,-0.3301537353266429,G3,Atípica en ICE principal
23,QUINTANA ROO,9,TULUM,1,948,U,1089.0,271.6987714193222,0.9658536599229895,0.5316455696202531,0.18777262096926425,0.18118930260502147,0.9552905612743324,23.231307692415104,-0.06872694596923705,2.5986946579476475,6.6662194336658045,-0.8142992825905392,3.794791449296543,1.698775207260719,G3,Atípica en ICE principal
