EDO,NOMBRE_ESTADO,MUN,NOMBRE_MUNICIPIO,DTO,SECC,TIPO_SECCION,LNE,Densidad_LNE,Razon_LNE_PE,TC_LNE_2019,Coef_Var_LNE,Var_Prop_LNE,Autocorr_LNE,CP1 (ICE principal),CP2 (segundo ICE),CP3 (tercer ICE),TCE_seccional,Atipicidad
15,MEXICO,68,OTZOLOTEPEC,18,6517,R,197.0,868.4306379666475,0.9260314787078968,1.9402985074626864,0.3320233610243882,0.3330933664941117,0.9901519294815608,60.82459332295374,-4.333561341733321,8.530511566732775,G2,Atipica en CP1
19,NUEVO LEON,18,GARCIA,7,2547,R,1078.0,1494.7344961558874,0.9573882159808969,1.0263157894736843,0.22059180236256226,0.23590955030135435,0.997564603149436,36.535477296228365,-3.3874946515363265,4.5091243159822545,G2,Atipica en CP1
8,CHIHUAHUA,37,JUAREZ,3,3118,U,1218.0,18615.25176921692,0.913223279803908,0.08459483526268922,0.2900151620596687,0.18112387606059024,-0.03534344585479595,28.65240980051497,-16.694276483008434,5.397995556307415,G2,Atipica en CP1
26,SONORA,49,HERMOSILLO,5,1537,U,1139.0,14895.144654936192,0.9122481609328058,0.07859848484848485,0.28978810278664324,0.17901136574842272,-0.04308967930145858,28.55201834886302,-16.966708316605153,5.285693440186925,G2,Atipica en CP1
19,NUEVO LEON,21,GRAL. ESCOBEDO,2,2737,U,26.0,3448.118547376618,0.9813480392156864,0.7333333333333333,0.17724578947751554,0.19353577126746466,0.9742785792574934,26.51084376078973,-1.7711545892038874,3.3578767937986607,G2,Atipica en CP1
23,QUINTANA ROO,9,TULUM,1,948,U,1089.0,271.6987714193221,0.9658536599229895,0.5316455696202531,0.18777262096926425,0.18118930260502147,0.9552905612743324,25.42983947699444,-4.5139194852967455,2.9793351723308388,G2,Atipica en CP1
5,COAHUILA,32,SAN JUAN DE SABINAS,3,1711,M,232.0,1879.728291433204,0.9199219901619012,0.6111111111111112,0.1357391861822357,0.15379062798042295,0.9935366833439966,25.41454661672737,-7.1524640157290795,5.062423336541733,G2,Atipica en CP1
5,COAHUILA,30,SALTILLO,7,1005,M,1702.0,274.2899132927039,0.964287554635292,0.5730129390018485,0.14787087790377654,0.16542174790675074,0.9960269132016488,23.013314041576802,-3.1472298579707982,2.4968954095906732,G2,Atipica en CP1
28,TAMAULIPAS,32,REYNOSA,9,1772,U,1970.0,4708.005901181888,0.9752928481582122,0.5235885537509667,0.16637854353488274,0.17040520789829774,0.9833846535622208,22.891280826927773,-2.6317447210539844,2.170834283605004,G2,Atipica en CP1
19,NUEVO LEON,40,MONTERREY,7,2717,U,239.0,1294.672884238395,0.9580344665296332,0.532051282051282,0.12871347665765842,0.1462353035319313,0.9920605041392664,20.796870005772103,-3.725658563409819,3.3266006935147434,G2,Atipica en CP1
